user_id,role,day,login_hour,files_accessed,session_minutes
D4_U01,employee,1,0,11,168
D4_U01,employee,2,23,10,80
D4_U01,employee,3,15,9,72
D4_U01,employee,4,17,8,117
D4_U01,employee,5,22,11,63
D4_U01,employee,6,18,13,85
D4_U01,employee,7,3,12,106
D4_U01,employee,8,22,18,7
D4_U01,employee,9,22,9,11
D4_U01,employee,10,17,8,90
D4_U01,employee,11,20,8,23
D4_U01,employee,12,13,18,132
D4_U01,employee,13,12,6,128
D4_U01,employee,14,15,4,96
D4_U01,employee,15,23,9,84
D4_U01,employee,16,23,12,115
D4_U01,employee,17,20,8,29
D4_U01,employee,18,1,10,49
D4_U01,employee,19,7,10,111
D4_U01,employee,20,5,7,109
D4_U01,employee,21,22,6,60
D4_U01,employee,22,19,4,83
D4_U01,employee,23,14,15,109
D4_U01,employee,24,12,11,73
D4_U01,employee,25,7,7,51
D4_U01,employee,26,14,13,83
D4_U01,employee,27,17,9,75
D4_U01,employee,28,11,12,66
D4_U01,employee,29,5,9,101
D4_U01,employee,30,18,6,149
D4_U02,employee,1,12,7,80
D4_U02,employee,2,8,7,75
D4_U02,employee,3,18,8,101
D4_U02,employee,4,19,8,65
D4_U02,employee,5,16,6,51
D4_U02,employee,6,15,11,109
D4_U02,employee,7,21,15,81
D4_U02,employee,8,5,11,17
D4_U02,employee,9,11,15,119
D4_U02,employee,10,15,8,117
D4_U02,employee,11,7,10,88
D4_U02,employee,12,15,9,94
D4_U02,employee,13,12,11,124
D4_U02,employee,14,9,10,145
D4_U02,employee,15,5,11,61
D4_U02,employee,16,9,11,66
D4_U02,employee,17,16,11,152
D4_U02,employee,18,9,12,66
D4_U02,employee,19,20,4,17
D4_U02,employee,20,23,10,78
D4_U02,employee,21,0,7,119
D4_U02,employee,22,16,8,50
D4_U02,employee,23,4,10,92
D4_U02,employee,24,0,5,136
D4_U02,employee,25,18,13,80
D4_U02,employee,26,7,8,68
D4_U02,employee,27,6,16,81
D4_U02,employee,28,1,11,149
D4_U02,employee,29,5,11,79
D4_U02,employee,30,10,7,196
D4_U03,manager,1,10,13,26
D4_U03,manager,2,11,8,125
D4_U03,manager,3,9,9,55
D4_U03,manager,4,1,8,134
D4_U03,manager,5,13,14,112
D4_U03,manager,6,22,8,118
D4_U03,manager,7,16,12,74
D4_U03,manager,8,8,14,96
D4_U03,manager,9,11,10,46
D4_U03,manager,10,11,11,115
D4_U03,manager,11,7,8,5
D4_U03,manager,12,3,9,71
D4_U03,manager,13,16,5,82
D4_U03,manager,14,5,9,111
D4_U03,manager,15,5,12,83
D4_U03,manager,16,0,15,138
D4_U03,manager,17,2,4,142
D4_U03,manager,18,0,5,67
D4_U03,manager,19,23,9,88
D4_U03,manager,20,9,9,87
D4_U03,manager,21,3,8,77
D4_U03,manager,22,17,10,81
D4_U03,manager,23,20,6,98
D4_U03,manager,24,0,10,5
D4_U03,manager,25,12,8,97
D4_U03,manager,26,9,11,55
D4_U03,manager,27,19,9,47
D4_U03,manager,28,1,10,115
D4_U03,manager,29,10,16,70
D4_U03,manager,30,2,13,26
D4_U04,employee,1,13,3,152
D4_U04,employee,2,8,16,95
D4_U04,employee,3,18,8,112
D4_U04,employee,4,12,9,103
D4_U04,employee,5,11,17,92
D4_U04,employee,6,18,8,99
D4_U04,employee,7,14,13,116
D4_U04,employee,8,1,8,13
D4_U04,employee,9,20,10,118
D4_U04,employee,10,18,8,89
D4_U04,employee,11,3,10,98
D4_U04,employee,12,9,11,111
D4_U04,employee,13,7,9,147
D4_U04,employee,14,6,8,113
D4_U04,employee,15,23,15,141
D4_U04,employee,16,6,9,52
D4_U04,employee,17,9,15,149
D4_U04,employee,18,3,4,114
D4_U04,employee,19,1,11,64
D4_U04,employee,20,6,5,128
D4_U04,employee,21,13,12,84
D4_U04,employee,22,9,7,165
D4_U04,employee,23,10,7,98
D4_U04,employee,24,15,12,44
D4_U04,employee,25,20,6,76
D4_U04,employee,26,3,12,81
D4_U04,employee,27,13,10,73
D4_U04,employee,28,0,9,92
D4_U04,employee,29,10,12,169
D4_U04,employee,30,3,9,56
D4_U05,contractor,1,17,15,87
D4_U05,contractor,2,23,9,174
D4_U05,contractor,3,10,10,49
D4_U05,contractor,4,1,9,44
D4_U05,contractor,5,4,11,124
D4_U05,contractor,6,22,3,132
D4_U05,contractor,7,15,13,114
D4_U05,contractor,8,23,10,126
D4_U05,contractor,9,1,12,114
D4_U05,contractor,10,10,12,94
D4_U05,contractor,11,0,8,131
D4_U05,contractor,12,5,9,45
D4_U05,contractor,13,4,15,114
D4_U05,contractor,14,10,5,5
D4_U05,contractor,15,9,12,63
D4_U05,contractor,16,0,11,124
D4_U05,contractor,17,7,12,88
D4_U05,contractor,18,0,5,94
D4_U05,contractor,19,7,12,5
D4_U05,contractor,20,0,7,61
D4_U05,contractor,21,14,16,65
D4_U05,contractor,22,12,8,121
D4_U05,contractor,23,14,11,124
D4_U05,contractor,24,17,13,44
D4_U05,contractor,25,22,11,64
D4_U05,contractor,26,22,8,37
D4_U05,contractor,27,20,14,78
D4_U05,contractor,28,5,12,75
D4_U05,contractor,29,14,15,108
D4_U05,contractor,30,0,6,52
D4_U06,contractor,1,1,13,62
D4_U06,contractor,2,0,15,138
D4_U06,contractor,3,18,10,54
D4_U06,contractor,4,18,10,129
D4_U06,contractor,5,9,18,97
D4_U06,contractor,6,14,8,100
D4_U06,contractor,7,23,8,5
D4_U06,contractor,8,21,10,105
D4_U06,contractor,9,16,10,124
D4_U06,contractor,10,0,12,118
D4_U06,contractor,11,0,7,111
D4_U06,contractor,12,10,10,136
D4_U06,contractor,13,16,10,79
D4_U06,contractor,14,3,6,94
D4_U06,contractor,15,11,8,99
D4_U06,contractor,16,10,16,112
D4_U06,contractor,17,2,8,15
D4_U06,contractor,18,18,10,67
D4_U06,contractor,19,15,10,114
D4_U06,contractor,20,6,10,137
D4_U06,contractor,21,2,10,119
D4_U06,contractor,22,20,9,86
D4_U06,contractor,23,20,10,54
D4_U06,contractor,24,7,6,80
D4_U06,contractor,25,3,15,91
D4_U06,contractor,26,9,6,95
D4_U06,contractor,27,18,6,135
D4_U06,contractor,28,19,9,31
D4_U06,contractor,29,9,8,102
D4_U06,contractor,30,12,14,128
D4_U07,employee,1,23,19,121
D4_U07,employee,2,4,6,103
D4_U07,employee,3,16,9,70
D4_U07,employee,4,18,12,83
D4_U07,employee,5,15,14,59
D4_U07,employee,6,22,12,79
D4_U07,employee,7,20,10,128
D4_U07,employee,8,7,11,125
D4_U07,employee,9,10,8,90
D4_U07,employee,10,1,11,52
D4_U07,employee,11,23,13,105
D4_U07,employee,12,23,14,142
D4_U07,employee,13,17,8,98
D4_U07,employee,14,6,9,116
D4_U07,employee,15,19,7,103
D4_U07,employee,16,5,13,43
D4_U07,employee,17,22,9,108
D4_U07,employee,18,15,9,72
D4_U07,employee,19,18,11,113
